Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0805_2012Metric,78.58125,-95.25,270.0,bottom
C2,10uF,C_0805_2012Metric,75.009375,-95.25,270.0,bottom
C3,10uF,C_0805_2012Metric,201.696875,-94.059375,270.0,bottom
C4,100nF,C_0805_2012Metric,204.078125,-94.059375,270.0,bottom
D1,D,D_SOD-123,46.434375,-39.290625,270.0,bottom
D10,D,D_SOD-123,217.884375,-39.290625,270.0,bottom
D11,D,D_SOD-123,236.934375,-39.290625,270.0,bottom
D12,D,D_SOD-123,254.79375,-38.1,270.0,bottom
D13,D,D_SOD-123,46.434375,-58.340625,270.0,bottom
D14,D,D_SOD-123,65.484375,-58.340625,270.0,bottom
D15,D,D_SOD-123,84.534375,-58.340625,270.0,bottom
D16,D,D_SOD-123,103.584375,-58.340625,270.0,bottom
D17,D,D_SOD-123,122.634375,-58.340625,270.0,bottom
D18,D,D_SOD-123,141.684375,-58.340625,270.0,bottom
D19,D,D_SOD-123,160.734375,-58.340625,270.0,bottom
D2,D,D_SOD-123,65.484375,-39.290625,270.0,bottom
D20,D,D_SOD-123,179.784375,-58.340625,270.0,bottom
D21,D,D_SOD-123,198.834375,-58.340625,270.0,bottom
D22,D,D_SOD-123,217.884375,-58.340625,270.0,bottom
D23,D,D_SOD-123,236.934375,-58.340625,270.0,bottom
D24,D,D_SOD-123,255.984375,-58.340625,270.0,bottom
D25,D,D_SOD-123,46.434375,-77.390625,270.0,bottom
D26,D,D_SOD-123,65.484375,-77.390625,270.0,bottom
D27,D,D_SOD-123,84.534375,-77.390625,270.0,bottom
D28,D,D_SOD-123,103.584375,-77.390625,270.0,bottom
D29,D,D_SOD-123,122.634375,-77.390625,270.0,bottom
D3,D,D_SOD-123,84.534375,-39.290625,270.0,bottom
D30,D,D_SOD-123,141.684375,-77.390625,270.0,bottom
D31,D,D_SOD-123,160.734375,-77.390625,270.0,bottom
D32,D,D_SOD-123,179.784375,-77.390625,270.0,bottom
D33,D,D_SOD-123,198.834375,-77.390625,270.0,bottom
D34,D,D_SOD-123,217.884375,-77.390625,270.0,bottom
D35,D,D_SOD-123,236.934375,-77.390625,270.0,bottom
D36,D,D_SOD-123,254.79375,-77.390625,270.0,bottom
D37,D,D_SOD-123,103.584375,-96.440625,270.0,bottom
D38,D,D_SOD-123,122.634375,-96.440625,270.0,bottom
D39,D,D_SOD-123,151.209375,-96.440625,270.0,bottom
D4,D,D_SOD-123,103.584375,-39.290625,270.0,bottom
D40,D,D_SOD-123,179.784375,-96.440625,270.0,bottom
D41,D,D_SOD-123,198.834375,-96.440625,270.0,bottom
D5,D,D_SOD-123,122.634375,-39.290625,270.0,bottom
D6,D,D_SOD-123,141.684375,-39.290625,270.0,bottom
D7,D,D_SOD-123,160.734375,-39.290625,270.0,bottom
D8,D,D_SOD-123,179.784375,-39.290625,270.0,bottom
D9,D,D_SOD-123,198.834375,-39.290625,270.0,bottom
MX1,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,37.465,-35.73195,180.0,bottom
MX10,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,208.915,-35.73195,180.0,bottom
MX11,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,227.965,-35.73195,180.0,bottom
MX12,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,247.015,-35.73195,180.0,bottom
MX13,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,37.465,-54.78195,180.0,bottom
MX14,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,56.515,-54.78195,180.0,bottom
MX15,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,75.565,-54.78195,180.0,bottom
MX16,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,94.615,-54.78195,180.0,bottom
MX17,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,113.665,-54.78195,180.0,bottom
MX18,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,132.715,-54.78195,180.0,bottom
MX19,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,151.765,-54.78195,180.0,bottom
MX2,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,56.515,-35.73195,180.0,bottom
MX20,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,170.815,-54.78195,180.0,bottom
MX21,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,189.865,-54.78195,180.0,bottom
MX22,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,208.915,-54.78195,180.0,bottom
MX23,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,227.965,-54.78195,180.0,bottom
MX24,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,247.015,-54.78195,180.0,bottom
MX25,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,37.465,-73.83195,180.0,bottom
MX26,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,56.515,-73.83195,180.0,bottom
MX27,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,75.565,-73.83195,180.0,bottom
MX28,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,94.615,-73.83195,180.0,bottom
MX29,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,113.665,-73.83195,180.0,bottom
MX3,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,75.565,-35.73195,180.0,bottom
MX30,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,132.715,-73.83195,180.0,bottom
MX31,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,151.765,-73.83195,180.0,bottom
MX32,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,170.815,-73.83195,180.0,bottom
MX33,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,189.865,-73.83195,180.0,bottom
MX34,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,208.915,-73.83195,180.0,bottom
MX35,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,227.965,-73.83195,180.0,bottom
MX36,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,247.015,-73.83195,180.0,bottom
MX37,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,94.615,-92.88195,180.0,bottom
MX38,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,113.665,-92.88195,180.0,bottom
MX39,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,142.24,-92.88195,180.0,bottom
MX4,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,94.615,-35.73195,180.0,bottom
MX40,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,170.815,-92.88195,180.0,bottom
MX41,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,189.865,-92.88195,180.0,bottom
MX5,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,113.665,-35.73195,180.0,bottom
MX6,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,132.715,-35.73195,180.0,bottom
MX7,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,151.765,-35.73195,180.0,bottom
MX8,MX_SW_HS,SW_MX_HS_CPG151101S11_1u,170.815,-35.73195,180.0,bottom
